  Generating ../edge.epk
  Adding graphics/system/null.gfx                 64.9% [   115/   328] Deflate
  Adding graphics/system/portal7a.jpg              1.2% [ 21857/ 22118] Deflate
  Adding graphics/system/portal7b.jpg              1.3% [ 18115/ 18353] Deflate
  Adding graphics/system/portal7c.jpg              1.3% [ 15284/ 15491] Deflate
  Adding graphics/system/portal7d.jpg              1.4% [ 15082/ 15294] Deflate
  Adding graphics/system/portal7e.jpg              1.3% [ 14670/ 14867] Deflate
  Adding graphics/system/portal7f.jpg              1.3% [ 16778/ 17001] Deflate
  Adding graphics/system/portal7g.jpg              1.3% [ 20442/ 20708] Deflate
  Adding graphics/system/shadowst.png              1.5% [ 11399/ 11571] Deflate
  Adding graphics/system/stdesync.gfx             65.2% [   904/  2597] Deflate
  Adding graphics/titles/EDGETTL.png               0.0% [ 38132/ 38132] Stored
  Adding graphics/titles/credit2.gfx              63.1% [ 24712/ 66888] Deflate
  Adding graphics/titles/doomintr.gfx             56.4% [ 29172/ 66888] Deflate
  Adding graphics/titles/interpcx.gfx             95.3% [  3154/ 66888] Deflate
  Adding music/O_EDGTTL                            0.9% [329663/332608] Deflate
  Adding music/O_EDGTTL.ogg                        0.9% [329663/332608] Deflate
  Adding rott/ROTTCOLORS.lmp                      63.2% [  3203/  8704] Deflate
  Adding rott/ROTTPAL.lmp                         18.2% [   628/   768] Deflate
  Adding rott/RT_DMXGUSC.txt                      68.9% [  2166/  6974] Deflate
  Adding rott/RT_GENMIDI                          69.5% [  3637/ 11908] Deflate
  Adding rott/RT_GENMIDI.lmp                      69.5% [  3637/ 11908] Deflate
  Adding rott/RT_SHADOWST.png                      1.5% [ 11399/ 11571] Deflate
  Adding rott/RT_SKYDK1.png                        0.1% [ 40795/ 40830] Deflate
  Adding rott/graphics/PISGA0.png                  9.7% [  2485/  2753] Deflate
  Adding rott/graphics/PISGB0.png                  7.1% [  3321/  3573] Deflate
  Adding rott/graphics/PISGC0.png                  9.3% [  2740/  3020] Deflate
  Adding rott/graphics/XHAIR/crosshr1.png          7.0% [    93/   100] Deflate
  Adding rott/graphics/XHAIR/crosshr2.png          5.8% [    97/   103] Deflate
  Adding rott/graphics/XHAIR/crosshr3.png          6.7% [    98/   105] Deflate
  Adding rott/graphics/XHAIR/crosshr4.png          6.6% [    99/   106] Deflate
  Adding rott/graphics/XHAIR/crosshr5.png          6.1% [   123/   131] Deflate
  Adding rott/graphics/XHAIR/crosshr6.png          0.0% [   196/   196] Stored
  Adding rott/graphics/XHAIR/crosshr7.png          1.8% [   165/   168] Deflate
  Adding rott/graphics/XHAIR/crosshr8.png          0.0% [   611/   611] Stored
  Adding rott/graphics/XHAIR/crosshr9.png          0.0% [   232/   232] Stored
  Adding rott/graphics/console/LOGO                0.0% [239209/239209] Stored
  Adding rott/graphics/console/LOGO.png            0.0% [239209/239209] Stored
  Adding rott/graphics/console/confont2.png        3.6% [ 39780/ 41261] Deflate
  Adding rott/graphics/console/consol_p.png        0.0% [239209/239209] Stored
  Adding rott/graphics/fonts/BIGFONT.lmp          68.7% [  2773/  8871] Deflate
  Adding rott/graphics/fonts/CONFONT.lmp          64.2% [  3675/ 10254] Deflate
  Adding rott/graphics/fonts/DBIGFONT.lmp         68.7% [  2773/  8871] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF001.raw 75.7% [    35/   144] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF002.raw 54.9% [    65/   144] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF003.raw 49.7% [    74/   147] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF004.raw 45.1% [    79/   144] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF005.raw 43.8% [    81/   144] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF006.raw 51.4% [    70/   144] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF007.raw 43.8% [    81/   144] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF008.raw 58.3% [    60/   144] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF009.raw 53.5% [    67/   144] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF010.raw 49.3% [    73/   144] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF011.raw 44.2% [    82/   147] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF012.raw 51.4% [    70/   144] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF013.raw 60.4% [    57/   144] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF014.raw 62.5% [    54/   144] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF015.raw 63.9% [    52/   144] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF016.raw 57.6% [    61/   144] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF017.raw 46.5% [    77/   144] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF018.raw 48.6% [    74/   144] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF019.raw 42.9% [    84/   147] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF020.raw 41.5% [    86/   147] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF021.raw 42.9% [    84/   147] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF022.raw 41.5% [    86/   147] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF023.raw 43.8% [    81/   144] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF024.raw 46.3% [    79/   147] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF025.raw 42.4% [    83/   144] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF026.raw 43.1% [    82/   144] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF027.raw 56.9% [    62/   144] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF028.raw 52.8% [    68/   144] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF029.raw 47.9% [    75/   144] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF030.raw 56.9% [    62/   144] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF031.raw 43.5% [    83/   147] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF032.raw 43.8% [    81/   144] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF033.raw 44.4% [    99/   178] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF034.raw 45.1% [    79/   144] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF035.raw 42.2% [    85/   147] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF036.raw 45.1% [    79/   144] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF037.raw 43.5% [    83/   147] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF038.raw 42.9% [    84/   147] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF039.raw 44.2% [    82/   147] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF040.raw 43.1% [    82/   144] Deflate
  Adding rott/graphics/fonts/ifntfont/IFNTF041.raw 43.5% [    83/   147] Deflate
